f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,class
52,539,1432,603,52,380,1432,507,6,1232078,45118349,6342844,5,1033549,45067148,5823045,308019730,6,251,135489,299,113641,122437,97741,448,120,194,133,label-1
59,138,598,50,67,99,677,48,24,59827,214128,24072,32,47305,546722,33691,594984449,17,9946,1382161,12578,1256648,1103673,904464,108,64,9946,12578,label-1
52,622,1432,630,52,362,1432,496,24,680268,45042440,4816863,5,611725,45008159,4572164,129931255,6,192,119528,213,77162,109544,66086,35,222,150,92,label-1
59,134,599,52,67,99,678,48,6,60753,240693,26665,31,47343,584634,33518,594961013,17,9794,1319410,12568,1250663,1045178,898759,108,64,9794,12568,label-1
42,148,600,44,50,99,677,48,4,57053,1066178,28208,32,47420,932016,34352,594725419,17,10425,1551058,12541,1249978,1259158,898830,108,64,10425,12541,label-1
52,459,1432,566,52,381,1432,501,14,855294,45040433,5388309,5,760134,45018948,5084908,130004773,6,153,70298,172,65562,62342,56618,238,221,114,81,label-1
52,505,1432,586,52,389,1432,505,35,969687,45068232,5731478,6,796037,45023024,5222280,129938153,6,135,68222,163,63537,61202,55061,35,223,105,76,label-1
52,444,1432,527,52,487,1432,579,5,935204,45023848,5626744,28,928228,45045550,5609769,130015062,6,140,62291,141,68757,55011,61425,35,35,77,108,label-1
59,130,600,54,67,100,677,48,19,61691,219630,24990,31,47266,727089,33437,594521606,17,9638,1259473,12579,1259164,989609,906952,108,64,9638,12579,label-1
52,377,1432,499,52,490,1432,580,5,763874,45029947,5097680,36,934036,45058268,5626237,129880413,6,171,64476,140,68686,55584,61406,139,35,80,103,label-1
59,143,598,48,67,99,678,48,19,58407,646534,23556,31,47377,690943,33884,595466159,17,10196,1463877,12569,1254125,1178389,902193,108,64,10196,12569,label-1
52,390,1432,505,52,488,1432,579,5,796257,45023582,5204105,9,927067,45045076,5607831,129811462,6,164,63975,141,68912,55447,61580,139,35,78,107,label-1
59,129,599,53,67,99,678,49,25,61131,213186,24919,32,47292,672377,33319,594611069,17,9727,1264484,12574,1254998,992128,902926,108,64,9727,12574,label-1
52,388,1432,508,52,457,1432,565,5,963626,45037780,5838604,11,1184135,45059503,6455519,181194863,6,189,73375,154,70379,63163,62371,181,35,90,116,label-1
67,99,680,48,59,130,600,52,33,47412,463929,33209,12,61458,247268,26610,595358336,17,12558,1250122,9688,1262677,898498,991413,112,64,12558,9688,label-1
52,442,1432,525,52,504,1432,585,5,961708,45089678,5627833,23,997062,45130040,5730709,135622467,6,142,62778,137,69183,55394,62059,139,35,77,106,label-1
59,121,599,55,67,99,679,48,22,66447,217122,27740,31,47285,926634,34705,595611706,17,8964,1090801,12597,1254409,839809,901693,108,64,8964,12597,label-1
52,375,1432,498,52,480,1432,576,5,742032,45024596,5024387,21,901597,45046381,5528131,129877416,6,176,66001,145,69707,56849,62167,223,35,82,110,label-1
59,130,599,53,67,99,679,48,18,62156,230800,25575,32,47399,490853,33833,594106003,17,9559,1248258,12535,1248665,980606,897685,108,64,9559,12535,label-1
52,468,1432,568,52,376,1432,498,16,877989,45054186,5457051,4,746143,45032528,5040349,129942494,6,149,69782,175,65895,62034,56795,35,221,112,82,label-1
59,129,599,54,67,99,678,48,21,63020,172547,25346,32,47274,899429,33910,594383492,17,9432,1223309,12574,1254405,959213,902333,108,64,9432,12574,label-1
52,488,1432,579,52,377,1432,497,25,928342,45028167,5606970,5,763534,45006553,5096635,129967895,6,141,68873,171,64505,61541,55589,35,139,106,78,label-1
59,120,598,54,67,99,678,48,33,65996,191966,26941,32,47352,480385,33557,594798899,17,9012,1090097,12562,1252444,837761,900708,108,64,9012,12562,label-1
59,126,599,54,67,99,677,49,11,64187,260284,28234,31,47397,675461,34387,594316842,17,9260,1166964,12540,1251966,907684,900846,108,64,9260,12540,label-1
52,399,1432,502,52,526,1432,594,5,860348,45027004,5424471,40,1014939,45057770,5881653,129934412,6,152,60772,129,67899,52116,61191,139,35,74,96,label-1
59,137,599,51,67,99,677,48,23,61548,264840,25062,32,47297,891823,34770,594930001,17,9667,1331581,12579,1252816,1060905,900604,108,64,9667,12579,label-1
52,357,1432,488,52,418,1432,540,5,701734,45029962,4890876,7,768169,45051930,5114441,129842504,6,186,66452,170,71119,56332,62279,221,35,80,134,label-1
67,99,679,48,59,114,599,54,32,47457,966416,34942,19,68081,236277,29270,594027726,17,12518,1245566,8726,1003201,895062,758873,112,108,12518,8726,label-1
52,489,1432,579,52,385,1432,504,12,928272,45046789,5606164,6,768107,45011711,5111962,129958159,6,141,68998,170,65467,61666,56627,35,222,101,82,label-1
59,118,600,55,67,99,676,49,7,68243,244659,29273,32,47394,733588,34488,593924862,17,8704,1034665,12532,1250020,790953,899124,108,64,8704,12532,label-1
52,491,1432,579,52,437,1432,519,10,928273,45067833,5606811,5,889095,45029519,5487673,129958336,6,141,69281,147,64321,61949,56677,35,221,107,82,label-1
59,67,599,23,67,108,676,47,22,87798,443125,31915,32,47606,868304,34188,594031474,17,6766,455434,12479,1353640,265986,1004228,108,64,6766,12479,label-1
67,108,677,47,59,73,599,32,31,47544,1051967,34701,26,84818,260508,31464,593991443,17,12494,1349680,7004,514399,999848,318287,112,64,12494,7004,label-1
67,99,677,48,59,142,599,50,32,47524,296393,32271,17,59475,239036,26365,595410774,17,12529,1246268,10012,1428592,895456,1148256,112,108,12529,10012,label-1
52,383,1432,502,52,501,1432,584,6,782536,45016705,5156717,9,955151,45057192,5686125,129922941,6,167,64036,137,68657,55352,61533,139,35,78,105,label-1
59,67,599,23,67,110,676,47,15,88734,291225,36015,31,47522,824556,34199,594221800,17,6697,449030,12505,1377249,261514,1027109,108,64,6697,12505,label-1
67,110,677,47,59,67,599,23,31,47438,850315,34069,20,88786,393601,34130,593837670,17,12519,1380362,6689,449426,1029830,262134,112,108,12519,6689,label-1
52,507,1432,586,52,398,1432,508,20,969746,45046970,5722817,4,798301,45002096,5213778,129945994,6,135,68470,163,64904,61450,56428,35,223,99,80,label-1
59,67,600,24,67,110,677,47,23,87917,357052,32975,32,47525,831679,34317,594410321,17,6762,456033,12508,1377678,266697,1027454,108,64,6762,12508,label-1
59,67,599,23,67,110,678,47,19,88153,317940,33124,31,47420,794639,34141,593940534,17,6737,452741,12526,1380868,264105,1030140,108,64,6737,12526,label-1
52,423,1432,518,52,506,1432,585,5,877484,45029083,5452966,9,969330,45081778,5726634,129912555,6,149,63167,135,68380,55419,61360,139,35,78,103,label-1
52,507,1432,586,52,397,1432,508,34,977206,45049741,5746730,6,796789,45028092,5202669,129968503,6,134,68063,164,65259,61095,56731,35,222,103,83,label-1
59,69,598,28,67,108,679,47,12,86762,337732,32345,32,47591,965297,34475,593612667,17,6842,478605,12474,1353984,287029,1004712,108,64,6842,12474,label-1
52,340,1432,476,52,683,1432,637,4,713623,45024444,4927373,26,755110,45045949,5067744,129901090,6,183,62377,173,118276,52861,109280,139,35,78,139,label-1
59,67,600,23,67,110,678,47,22,88020,254718,31640,31,47420,696453,33902,594225351,17,6752,453312,12532,1378907,264256,1028011,108,64,6752,12532,label-1
52,474,1432,573,52,375,1432,500,27,895950,45064719,5510665,6,763756,45023951,5095487,129912800,6,146,69233,171,64271,61641,55379,35,139,107,80,label-1
59,67,598,23,67,108,678,47,9,88234,297753,35015,32,47575,825090,34182,594455460,17,6738,452148,12496,1358564,263484,1008676,108,64,6738,12496,label-1
52,387,1432,499,52,491,1432,579,5,768234,45026740,5108530,12,927321,45065638,5605364,129866014,6,170,65944,141,69232,56844,61900,223,35,82,108,label-1
59,73,599,31,67,108,678,47,22,84056,280960,32481,31,47607,1030185,35288,593522743,17,7062,518658,12467,1355448,320922,1006372,108,64,7062,12467,label-1
59,87,599,41,67,110,678,47,23,74494,267446,32058,32,47502,934106,34519,593419593,17,7967,701059,12493,1375875,477983,1026071,108,64,7967,12493,label-1
52,375,1432,493,52,468,1432,566,5,718041,45026782,4942826,7,860367,64973140,6411377,129987822,6,182,68418,152,71144,58706,63216,35,236,88,114,label-1
59,134,599,54,67,99,676,49,7,63525,221959,27048,32,47341,278759,32284,595135643,17,9369,1256026,12572,1251705,993694,899689,108,64,9369,12572,label-1
52,687,1432,638,52,316,1432,462,8,764449,45041268,5109510,5,698318,45019448,4887667,129956352,6,171,117581,187,59186,108689,49462,35,178,140,72,label-1
59,80,600,36,67,110,677,47,20,79433,240444,32636,31,47427,940170,34907,594318953,17,7483,598946,12532,1380303,389422,1029407,108,64,7483,12532,label-1
52,373,1432,497,52,481,1432,575,5,737798,45025517,5007498,13,907793,45065605,5546695,129897193,6,177,66084,144,69405,56856,61917,221,386,84,110,label-1
59,69,599,27,67,110,676,47,30,86474,286524,32381,32,47396,1064527,34993,593400550,17,6863,477947,12521,1380560,285783,1029972,108,64,6863,12521,label-1
52,371,1432,497,52,488,1432,579,5,733584,45033784,4997775,9,920846,45055275,5586441,129876914,6,178,66150,142,69377,56894,61993,222,35,83,105,label-1
59,67,599,23,67,110,678,47,19,87935,247472,32059,31,47332,1025890,34637,593360895,17,6748,454733,12537,1383172,265789,1032136,108,64,6748,12537,label-1
52,387,1432,510,52,491,1432,579,5,773030,45035843,5126543,45,927633,45065503,5606514,129890787,6,169,65492,141,69282,56704,61950,221,35,80,106,label-1
59,67,599,23,67,110,677,47,14,88027,282869,33350,31,47422,964076,34750,593542405,17,6743,452236,12517,1378313,263432,1027837,108,64,6743,12517,label-1
52,416,1432,517,52,507,1432,584,5,837676,45032118,5331093,11,961772,45053789,5704469,129861499,6,156,65033,136,68982,56921,61910,223,35,82,105,label-1
52,382,1432,498,52,496,1432,583,5,777448,45019501,5138806,12,947769,45041225,5664020,129866394,6,168,64198,138,68576,55462,61400,222,35,78,104,label-1
59,67,599,23,67,110,678,47,18,87955,358194,32082,32,47488,958399,34859,592909304,17,6742,454064,12486,1376170,265288,1026562,108,64,6742,12486,label-1
52,376,1432,500,52,487,1432,578,6,746312,45010490,5036282,8,921063,45049332,5583219,129891731,6,175,65821,142,69286,56721,61902,222,35,82,107,label-1
59,67,599,23,67,108,678,47,21,87929,266949,32338,31,47582,1492438,36086,592998607,17,6745,453283,12462,1355279,264423,1006343,108,64,6745,12462,label-1
52,385,1432,504,52,488,1432,578,4,763837,45030143,5095543,26,920935,45051772,5584538,129874188,6,171,65874,142,69307,56982,61923,224,35,83,107,label-1
59,67,600,23,67,108,676,47,24,88025,269174,32011,32,47612,980457,35603,592872392,17,6736,452144,12453,1351917,263536,1003233,108,64,6736,12453,label-1
52,379,1432,499,52,504,1432,584,5,768348,45012103,5110565,20,961919,45033604,5704305,129881304,6,170,64561,136,68556,55505,61484,139,35,79,104,label-1
59,67,598,24,67,110,680,47,20,87709,262119,34132,32,47554,1012232,36218,593286134,17,6765,456123,12477,1375291,266703,1025935,108,64,6765,12477,label-1
52,391,1432,513,52,484,1432,575,5,767981,45035761,5114741,18,907594,45094014,5553351,129810968,6,170,66517,144,69701,57641,62213,220,35,81,110,label-1
52,372,1432,496,52,476,1432,573,5,733529,45028237,4999026,9,895408,45075788,5513580,129856212,6,178,66217,146,69622,56961,62030,223,35,82,110,label-1
59,67,599,23,67,110,679,47,26,87820,239216,32443,31,47403,938282,35067,594366922,17,6769,455952,12539,1381255,266420,1030163,108,64,6769,12539,label-1
52,415,1432,513,52,497,1432,581,6,832002,45029439,5312275,40,940522,45050936,5641413,129814074,6,157,65182,139,69164,56706,61936,223,35,82,105,label-1
59,67,599,23,67,110,679,47,21,88036,363853,32604,31,47447,1017453,36201,592616419,17,6732,452923,12491,1374569,264427,1024821,108,64,6732,12491,label-1
52,485,1432,578,52,381,1432,501,16,921746,45047804,5587452,5,777630,45026169,5142924,129966297,6,142,68941,168,64075,61557,55295,35,139,107,79,label-1
52,376,1432,501,52,466,1432,569,5,742017,45018269,5021644,27,871496,45064182,5435075,129875137,6,176,66207,150,69904,57055,62104,223,35,84,113,label-1
59,67,600,23,67,110,677,47,20,87858,234639,31070,31,47430,865511,35656,592551824,17,6745,452975,12494,1374777,264115,1024945,108,64,6745,12494,label-1
52,391,1432,506,52,573,1432,609,5,777470,45010832,5136797,38,848610,45032459,5363251,129859143,6,168,65775,154,88270,57039,80262,223,35,82,124,label-1
59,66,598,23,67,110,678,47,27,88252,257526,32072,32,47428,962017,35503,592350987,17,6713,449192,12489,1377358,261228,1027666,108,64,6713,12489,label-1
52,380,1432,503,52,483,1432,579,5,778397,45010873,5140713,40,915642,45032522,5565946,130042929,6,168,63975,143,69076,55239,61640,139,35,77,106,label-1
59,67,599,23,67,110,678,47,22,87997,255221,33807,31,47436,1008179,35636,592224630,17,6731,451718,12485,1375229,263250,1025649,108,64,6731,12485,label-1
59,67,599,23,67,108,679,47,30,88058,248277,31676,31,47666,958529,35448,594595754,17,6752,453010,12475,1354449,263954,1005149,108,64,6752,12475,label-1
59,67,599,23,67,108,678,47,18,87997,289829,32424,32,47562,1008143,35535,592483767,17,6733,453833,12458,1353621,265309,1004797,108,64,6733,12458,label-1
52,380,1432,503,52,508,1432,584,5,733295,45023290,4993641,14,961416,45045696,5701431,129814797,6,178,67711,136,69186,58455,62102,222,35,84,103,label-1
59,67,600,23,67,108,676,47,14,88178,341204,32653,31,47652,1062074,36400,593528018,17,6732,452263,12456,1352384,263767,1003616,108,64,6732,12456,label-1
52,420,1432,516,52,536,1432,589,5,849530,45024290,5375562,15,1007164,50990779,6190780,130040814,6,154,64729,130,69710,56613,62950,252,35,80,104,label-1
67,101,678,48,59,115,599,53,31,47494,344323,32929,7,66443,294121,35625,596002923,17,12550,1276244,8970,1035863,924844,784703,112,64,12550,8970,label-1
52,470,1432,571,52,370,1432,496,10,877891,45058942,5453050,5,729196,45037024,4981146,129928001,6,149,70037,179,66240,62289,56864,35,224,112,83,label-1
67,108,678,47,59,67,599,23,31,47579,928601,35809,17,87924,290001,31627,593362572,17,12472,1354319,6749,453782,1005103,264810,112,64,12472,6749,label-1
52,370,1432,499,52,429,1432,541,5,709504,45016548,4911646,9,786901,45039809,5171076,129861361,6,184,68109,166,71279,58517,62575,223,35,83,132,label-1
59,67,598,23,67,108,677,47,14,88125,349471,32249,32,47630,1019458,36132,592384578,17,6723,450596,12438,1347753,262352,999489,108,64,6723,12438,label-1
52,385,1432,503,52,471,1432,570,6,750486,45008983,5050540,21,877257,45031638,5454808,129856648,6,174,67152,149,70222,58092,62462,224,35,84,110,label-1
59,67,599,23,67,110,678,47,17,88048,256336,33936,31,47450,1066377,36016,592662759,17,6732,451195,12491,1376975,262699,1027227,108,64,6732,12491,label-1
52,457,1432,565,52,432,1432,522,13,840867,45044946,5336571,5,830011,45008971,5298820,130334500,6,156,71298,158,68408,62990,60192,157,800,110,85,label-1
52,347,1432,483,52,417,1432,542,5,672710,45017742,4782819,7,746110,45040943,5036244,129855578,6,194,67366,175,73075,56962,63927,223,35,83,132,label-1
52,397,1432,507,52,507,1432,584,5,796771,45031995,5202253,33,961945,45091734,5707005,129917459,6,164,65165,136,69074,56493,61978,189,35,81,104,label-1
59,67,600,23,67,109,678,47,25,88040,246204,32034,31,47536,1053684,36125,592249427,17,6728,451815,12459,1360696,263431,1011844,108,64,6728,12459,label-1
59,67,599,23,67,108,677,47,23,87879,272653,31845,31,47630,1064491,36130,594900000,17,6770,455562,12491,1356298,266002,1006550,108,64,6770,12491,label-1
52,518,1432,586,52,380,1432,502,19,984556,45048368,5775560,5,773445,45026339,5131358,129961461,6,133,68935,169,64250,62007,55426,139,254,105,77,label-1
67,108,680,48,59,76,205,33,32,47690,1009195,36821,19,92675,566231,40948,594982395,17,12477,1352851,6421,491584,1003495,311796,112,64,12477,6421,label-1
59,67,599,23,67,110,678,47,14,88063,269769,34964,31,47503,1015248,36480,592402238,17,6728,451328,12471,1375811,262944,1026623,108,64,6728,12471,label-1
52,406,1432,522,52,537,1432,597,5,815450,45024012,5346894,11,1004631,51314773,6291421,125602439,6,155,63000,126,67705,54916,61081,189,35,72,99,label-1
59,67,598,23,67,108,678,47,20,87977,280685,31267,31,47646,1009689,36571,592726866,17,6738,451852,12441,1351403,263188,1003055,108,64,6738,12441,label-1
52,487,1432,575,52,381,1432,500,13,903064,45075915,5532356,4,738623,45016145,5010022,130041307,6,145,70642,177,67523,63030,58187,139,70,108,85,label-1
52,504,1432,581,52,394,1432,510,26,941568,45049661,5649026,5,787353,45027074,5173829,129936390,6,139,70131,166,65411,62867,56719,806,254,108,78,label-1
67,107,678,47,59,93,599,42,32,47646,1016269,36535,22,77331,330049,38794,593099434,17,12449,1344271,7670,714318,995699,499558,112,64,12449,7670,label-1
52,381,1432,505,52,481,1432,574,5,737898,45043506,5009966,25,901874,45066495,5527690,129893550,6,177,67468,145,69781,58204,62181,223,35,83,106,label-1
59,67,600,23,67,108,677,47,19,87899,251987,32258,32,47566,1013449,36700,592302927,17,6739,453644,12453,1349967,264952,1001283,108,64,6739,12453,label-1
59,67,599,23,67,110,676,47,22,87793,247900,31458,31,47409,964573,36532,592693796,17,6752,454148,12502,1378999,265092,1028943,108,64,6752,12502,label-1
52,354,1432,486,52,418,1432,540,5,733543,45003235,4992045,9,763738,45024937,5095610,129858779,6,178,63052,171,71618,53736,62726,139,35,78,135,label-1
59,67,600,24,67,110,677,47,23,87702,249267,31847,32,47355,1050407,36234,592872155,17,6761,457079,12519,1380641,267771,1030109,108,64,6761,12519,label-1
52,366,1432,489,52,501,1432,586,5,771287,45008235,5126650,23,952757,45067214,5687249,129597916,6,169,61935,137,68651,53075,61503,139,35,77,102,label-1
59,67,599,23,67,108,679,47,17,88016,321894,33768,31,47588,1058030,37052,591737647,17,6724,452204,12435,1349855,263932,1001675,108,64,6724,12435,label-1
59,67,600,23,67,108,679,47,10,88020,244080,31818,31,47599,1018558,36549,594332609,17,6753,452838,12487,1354742,263754,1005106,108,64,6753,12487,label-1
52,367,1432,495,52,464,1432,571,5,721260,45013148,4954188,32,865513,45036124,5417759,129850122,6,181,66546,151,70151,57110,62299,223,35,82,112,label-1
59,67,599,23,67,110,678,47,14,87918,247122,31522,32,47368,1062401,36736,594766156,17,6765,454073,12557,1382891,264653,1031295,108,64,6765,12557,label-1
52,477,1432,575,52,384,1432,503,30,902366,45051125,5529745,4,782238,45029714,5157300,129940737,6,145,69167,167,64150,61627,55466,35,139,108,78,label-1
59,67,599,23,67,108,679,47,19,88118,257940,31659,31,47553,972267,36221,592227867,17,6721,450399,12455,1351951,262211,1003211,108,64,6721,12455,label-1
59,66,598,23,67,108,678,47,22,88495,409190,32814,31,47629,1006682,37599,594078673,17,6714,448776,12474,1353096,260784,1003824,108,64,6714,12474,label-1
52,360,1432,488,52,492,1432,579,5,771415,45015159,5130405,16,932352,45036897,5629194,129619424,6,169,60985,140,68894,52197,61614,139,35,77,109,label-1
59,67,599,23,67,110,678,47,23,88164,285556,32774,32,47451,1008592,37314,594333090,17,6742,453188,12526,1380236,264412,1029508,108,64,6742,12526,label-1
52,489,1432,575,52,368,1432,493,16,914807,45105844,5574279,5,737872,45001211,5011106,129902604,6,143,69944,177,65170,62508,55650,238,70,104,83,label-1
59,146,599,52,67,99,677,48,13,60052,283960,28778,33,47369,399841,32691,595195709,17,9912,1449645,12566,1252775,1172109,900927,108,64,9912,12566,label-1
52,478,1432,571,52,380,1432,499,12,889718,45083334,5496143,5,737657,45029887,5009463,129898911,6,147,70376,177,67297,62720,57973,238,223,108,85,label-1
52,430,1432,524,52,493,1432,579,5,921697,45061074,5437189,11,1014528,45108097,5701209,141041291,6,154,66228,140,69130,58196,61850,129,35,82,110,label-1
59,121,598,55,67,99,678,48,21,66575,247944,29154,32,47399,435654,32901,594648159,17,8933,1084595,12546,1253841,834471,902553,108,64,8933,12546,label-1
59,165,599,38,67,100,676,50,29,56350,182284,21679,31,47589,458372,33376,175307875,17,3112,513772,3684,370969,426636,267817,108,64,3112,3684,label-1
52,408,1432,518,52,497,1432,585,5,853806,45031837,5422512,7,954149,45064389,5727425,129800268,6,153,62552,137,68191,54548,61067,243,35,72,106,label-1
59,161,598,31,67,99,679,50,28,56014,505014,20899,34,47571,481727,34364,176587532,17,3153,508349,3713,367706,420065,263742,108,64,3153,3713,label-1
52,423,1432,518,52,486,1432,578,4,857292,45023435,5373874,17,936895,45044947,5613501,131187524,6,154,65202,141,68635,57194,61303,129,35,79,107,label-1
59,164,599,34,67,99,679,50,26,55994,230648,19783,33,47405,364213,33627,174759811,17,3122,514896,3687,366140,427480,262904,108,64,3122,3687,label-1
59,172,599,32,67,98,678,48,26,55800,199925,20061,32,47519,557184,34989,174935815,17,3136,542318,3682,362730,454510,259634,108,64,3136,3682,label-1
59,181,599,31,67,98,677,48,30,55524,192227,18947,32,47834,408689,34084,174459470,17,3143,569058,3648,359675,481054,257531,108,64,3143,3648,label-1
52,433,1432,528,52,497,1432,583,6,875859,45013850,5459263,39,953139,45035475,5690870,129648728,6,149,64579,137,68133,56831,61009,212,35,77,107,label-1
59,172,598,31,67,99,679,49,36,55517,199989,18855,32,47559,635410,34762,175352677,17,3158,544052,3688,365913,455628,262649,108,64,3158,3688,label-1
52,378,1432,503,52,483,1432,576,5,725996,45013733,4972237,19,915169,45035247,5569263,129976017,6,180,68072,143,69201,58712,61765,213,35,83,107,label-1
59,167,599,36,67,100,677,50,10,56381,183208,20438,32,47582,565346,34513,174670838,17,3099,519602,3671,367849,432830,265061,108,64,3099,3671,label-1
59,169,598,34,67,98,677,49,31,55761,173714,19241,32,47604,731613,34445,175424948,17,3146,531892,3686,363661,443804,260453,108,64,3146,3686,label-1
52,364,1432,499,52,635,1432,630,5,601895,45023905,4529634,16,695214,45047807,4865763,130031237,6,217,79025,188,119385,67729,109609,211,35,93,150,label-1
59,158,600,37,67,99,677,50,18,56138,215966,20023,32,47210,361025,32409,175040963,17,3119,494238,3708,370664,406906,266840,108,64,3119,3708,label-1
59,169,599,34,67,100,679,50,9,55785,196737,21398,33,47357,565357,33909,175083061,17,3139,532791,3698,373086,444899,269542,108,64,3139,3698,label-1
52,403,1432,517,52,493,1432,579,5,778527,45027098,5143674,18,935353,45049171,5627295,130036244,6,168,67828,140,69035,59092,61755,211,35,81,109,label-1
59,167,599,33,67,99,678,49,11,55752,240777,24181,32,47467,737252,35849,174616205,17,3133,525081,3679,367503,437357,264491,108,64,3133,3679,label-1
52,393,1432,511,52,492,1432,579,4,751340,45025906,5059817,13,935118,45047504,5631935,130003655,6,174,68486,140,68891,59438,61611,212,35,85,104,label-1
67,100,679,49,59,165,599,34,46,47483,242917,33252,10,56378,235218,19869,175507257,17,3697,371522,3114,516310,268006,429118,112,108,3697,3114,label-1
52,404,1432,524,52,506,1432,585,4,778526,45016247,5147220,37,970605,45037966,5732266,130083037,6,168,68020,135,68311,59284,61291,212,35,79,102,label-1
52,434,1432,527,52,470,1432,571,6,837948,45023399,5337912,15,883550,45045270,5479802,129903832,6,156,67766,148,69621,59654,61925,212,35,83,113,label-1
59,173,598,31,67,101,678,49,10,55828,217382,20558,33,47559,227701,32669,175305286,17,3140,543294,3687,372737,455374,269501,108,64,3140,3687,label-1
52,397,1432,524,52,483,1432,575,5,764319,45029923,5100614,15,915083,45099589,5574653,129971065,6,171,67941,143,69139,59025,61703,212,35,80,109,label-1
52,482,1432,572,52,435,1432,522,13,891260,45114935,5511345,5,855680,45031619,5394822,130124094,6,147,70871,153,66575,63227,58607,35,242,110,82,label-1
59,153,599,41,67,100,679,50,9,56567,215032,23447,34,47196,326253,33678,175950254,17,3111,476153,3729,373106,389045,268694,108,64,3111,3729,label-1
52,432,1432,525,52,508,1432,582,5,859716,45031619,5393578,7,975202,45054413,5737498,130699137,6,153,66106,135,68618,58126,61598,129,35,79,104,label-1
59,173,599,33,67,100,679,49,27,55960,164478,21173,32,47745,208868,32785,175435090,17,3136,545640,3675,369176,457832,266276,108,64,3136,3675,label-1
52,500,1432,584,52,381,1432,522,16,971079,45044201,5715458,6,751623,45022839,5062964,131095746,6,136,68101,174,66398,61029,57338,35,213,104,73,label-1
59,172,600,31,67,100,679,49,13,55863,174938,21550,34,47635,348554,32626,175300379,17,3139,541407,3681,369936,453515,266868,108,64,3139,3681,label-1
52,395,1432,510,52,467,1432,572,5,792105,45036465,5179793,14,889091,45058011,5483187,130721635,6,166,65689,148,69155,57033,61459,129,35,81,108,label-1
59,172,599,33,67,99,678,49,22,55705,184429,20050,32,47666,520256,34755,175081494,17,3144,541781,3673,364445,453749,261601,108,64,3144,3673,label-1
52,444,1432,533,52,511,1432,588,5,901608,45021955,5533513,30,983546,45043511,5774985,129853159,6,145,64479,133,67979,56939,61063,212,35,77,104,label-1
67,100,679,49,59,165,598,33,32,47301,609747,34507,31,56083,159536,19730,294892477,17,6235,626738,5259,870256,452158,723004,112,64,6235,5259,label-1
52,382,1432,504,52,615,1432,626,5,574394,45030171,4431455,25,649065,45065732,4708166,129834889,6,227,86751,201,123639,74935,113187,222,35,109,157,label-1
67,98,680,49,59,139,599,50,32,47476,969833,37468,29,60510,167919,23814,293971598,17,6193,611921,4859,678496,438517,542444,112,64,6193,4859,label-1
